Fecha,Precio,Producto,Grupo,Anio,Mes,diesel,gas_regular,gas_especial,precipitacion_mm,lluvia_max_mm,ipc_transporte,area_ha,produccion_t,rendimiento_kg_ha,mes,trimestre,semana_anio,mes_sin,mes_cos,semana_sin,semana_cos,precio_lag1,precio_lag2,precio_lag4,precio_lag8,media_movil_4,desv_movil_4,media_movil_8,desv_movil_8,media_movil_12,desv_movil_12,es_cosecha
2021-10-31,18.185454545454547,TOMATE DE PASTA GRANDE,TOMATE,2021,10,3.5066666666666664,3.85,3.986666666666667,13.722999999999999,56.2,112.85,422.0,23016.73,54567.7,10,4,43,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,18.8,19.419999999999998,15.875,10.93,20.326982323232325,4.843920733798592,16.289324494949497,5.500534760072781,15.581494107744108,4.6877853210674,0
2021-11-07,22.233333333333334,TOMATE DE PASTA GRANDE,TOMATE,2021,11,3.635238095238095,3.9871428571428575,4.126666666666666,6.887,51.0,114.65,422.0,23016.73,54567.7,11,4,44,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548,18.185454545454547,18.8,27.212929292929296,10.791111111111112,20.904595959595962,4.235648269585956,17.196256313131315,5.072107565204042,16.1138930976431,4.580422274793287,1
2021-11-14,23.14,TOMATE DE PASTA GRANDE,TOMATE,2021,11,3.6566666666666667,4.010000000000001,4.1499999999999995,0.47300000000000003,14.0,114.65,422.0,23016.73,54567.7,11,4,45,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952,22.233333333333334,18.185454545454547,19.419999999999998,12.372222222222224,19.65969696969697,1.7882513222564176,18.626534090909093,4.599140133090811,16.93000420875421,4.7361334491216125,1
2021-11-21,25.9,TOMATE DE PASTA GRANDE,TOMATE,2021,11,3.6366666666666667,3.9899999999999998,4.138571428571429,5.734,28.8,114.65,422.0,23016.73,54567.7,11,4,46,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,23.14,22.233333333333334,18.8,14.913333333333332,20.58969696969697,2.462314826886142,19.972506313131312,4.050157977949286,17.450189393939393,5.06374329907842,1
2021-11-28,25.612147435897434,TOMATE DE PASTA GRANDE,TOMATE,2021,11,3.6333333333333333,3.986666666666667,4.136666666666667,0.29,5.2,114.65,422.0,23016.73,54567.7,11,4,47,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,25.9,23.14,18.185454545454547,15.875,22.364696969696972,3.192845436827625,21.345839646464647,3.9510948236301426,18.314448653198653,5.566139783871602,1
2021-12-05,19.55,TOMATE DE PASTA GRANDE,TOMATE,2021,12,3.5533333333333332,3.8952380952380956,4.05095238095238,0.014,0.6,113.44,422.0,23016.73,54567.7,12,4,48,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,25.612147435897434,25.9,22.233333333333334,27.212929292929296,24.221370192307692,1.8141767111660816,22.562983075951827,3.4989354060610527,19.53796093952344,5.406759833455991,1
2021-12-12,16.883333333333333,TOMATE DE PASTA GRANDE,TOMATE,2021,12,3.5399999999999996,3.8800000000000003,4.036666666666666,0.7849999999999999,14.4,113.44,422.0,23016.73,54567.7,12,4,49,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,19.55,25.612147435897434,23.14,19.419999999999998,23.55053685897436,2.9406944131450685,21.605116914335664,3.0662645808202176,20.267868346930847,4.65796635298482,1
2021-12-19,12.691818181818181,TOMATE DE PASTA GRANDE,TOMATE,2021,12,3.382857142857143,3.7257142857142855,3.865238095238095,3.7199999999999998,34.4,113.44,422.0,23016.73,54567.7,12,4,50,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,16.883333333333333,19.55,25.9,18.8,21.986370192307692,4.488490607090055,21.28803358100233,3.4336573356664726,20.643794272856773,4.11296356228105,1
2021-12-26,18.0,TOMATE DE PASTA GRANDE,TOMATE,2021,12,3.356666666666667,3.6999999999999997,3.8366666666666664,1.351,25.0,113.44,422.0,23016.73,54567.7,12,4,51,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,12.691818181818181,16.883333333333333,25.612147435897434,18.185454545454547,18.684324737762235,5.4128804980437355,20.524510853729605,4.5602457850413645,20.45866801023051,4.431966958020555,1
2022-01-02,15.205384615384617,TOMATE DE PASTA GRANDE,TOMATE,2022,1,3.3138095238095238,3.6371428571428575,3.7595238095238095,0.31,6.2,113.35,400.0,23659.0,59088.4,1,1,52,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,18.0,12.691818181818181,19.55,22.233333333333334,16.78128787878788,2.9374139262148433,20.501329035547787,4.574284687306331,20.635751343563843,4.271729223628644,1
2022-01-09,12.410769230769231,TOMATE DE PASTA GRANDE,TOMATE,2022,1,3.306666666666667,3.6266666666666674,3.7466666666666666,1.0110000000000001,38.0,113.35,400.0,23659.0,59088.4,1,1,1,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,15.205384615384617,18.0,16.883333333333333,23.14,15.695134032634034,2.308245025783417,19.622835445804196,4.8600667737890975,19.63512262043512,3.9879237601713,1
2022-01-16,9.41060606060606,TOMATE DE PASTA GRANDE,TOMATE,2022,1,3.4266666666666667,3.7380952380952377,3.852380952380952,0.193,4.4,113.35,400.0,23659.0,59088.4,1,1,2,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,12.410769230769231,15.205384615384617,12.691818181818181,25.9,14.576993006993007,2.60501199343506,18.28168159965035,5.218040776221235,19.051020056332558,4.50242146545598,1
2022-01-23,11.689393939393941,TOMATE DE PASTA GRANDE,TOMATE,2022,1,3.4466666666666668,3.7566666666666664,3.8699999999999997,0.027,1.2,113.35,400.0,23659.0,59088.4,1,1,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,9.41060606060606,12.410769230769231,18.0,25.612147435897434,13.756689976689978,3.6880141074408725,16.220507357226108,5.032257924138897,18.26857056138306,5.295947283907023,1
2022-01-30,11.566666666666668,TOMATE DE PASTA GRANDE,TOMATE,2022,1,3.6295238095238096,3.8938095238095234,4.0128571428571425,0.05,1.6,113.35,400.0,23659.0,59088.4,1,1,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,11.689393939393941,9.41060606060606,15.205384615384617,19.55,12.179038461538461,2.388614654906744,14.480163170163172,3.4920939487405818,17.727232177544675,5.62688129165839,1
2022-02-06,13.562500000000002,TOMATE DE PASTA GRANDE,TOMATE,2022,2,3.66,3.9166666666666665,4.036666666666666,0.262,4.2,115.93,400.0,23659.0,59088.4,2,1,5,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,11.566666666666668,11.689393939393941,12.410769230769231,16.883333333333333,11.269358974358974,1.2939089359482698,13.482246503496505,2.932126386713759,16.83834328865579,5.692466010444341,1
2022-02-13,13.93939393939394,TOMATE DE PASTA GRANDE,TOMATE,2022,2,3.837142857142857,4.062380952380953,4.199523809523809,0.9410000000000001,17.9,115.93,400.0,23659.0,59088.4,2,1,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,13.562500000000002,11.566666666666668,9.41060606060606,12.691818181818181,11.557291666666668,1.6977100706953843,13.067142336829837,2.597859373731184,16.04021828865579,5.392099370521877,1
